Team,Date,Opponent,FIFA Rank at Time,Result (W/L/D),Shots,On Target,Goals,Opp. Shots,Opp. On Target,Opp. Goals
Ecuador,09/09/2025,Argentina,3,W,11,4,1,8,0,0
Ecuador,04/09/2025,Paraguay,39,D,6,1,0,7,3,0
Ecuador,10/06/2025,Peru,53,D,10,3,0,13,5,0
Ecuador,05/06/2025,Brazil,5,D,7,3,0,3,2,0
Ecuador,25/03/2025,Chile,54,D,7,2,0,16,2,0
Ecuador,21/03/2025,Venezuela,49,W,16,6,2,10,6,1
Ecuador,19/11/2024,Colombia,13,W,4,1,1,26,7,0
Ecuador,14/11/2024,Bolivia,76,W,29,15,4,1,1,0
Ecuador,15/10/2024,Uruguay,15,D,8,4,0,11,4,0
Ecuador,10/10/2024,Paraguay,39,D,15,5,0,3,2,0
Ecuador,10/09/2024,Peru,53,W,10,4,1,2,1,0
Ecuador,06/09/2024,Brazil,5,L,6,2,0,9,3,1
Ecuador,04/07/2024,Argentina,3,D,8,2,1,8,2,1
Ecuador,30/06/2024,Mexico,16,D,8,3,0,19,3,0
Egypt,31/03/2026,Spain,2,D,4,1,0,25,6,0
Egypt,27/03/2026,Saudi Arabia,61,W,13,8,4,7,0,0
Egypt,17/01/2026,Nigeria,26,L,5,1,0,5,4,0
Egypt,14/01/2026,Senegal,12,L,3,1,0,12,4,1
Egypt,10/01/2026,Ivory Coast,37,W,6,4,3,13,4,2
Egypt,05/01/2026,Benin,90,W,12,7,3,8,3,1
Egypt,29/12/2025,Angola,89,D,5,2,0,16,4,0
Egypt,26/12/2025,South Africa,60,W,6,3,1,18,6,0
Egypt,22/12/2025,Zimbabwe,130,W,35,11,2,8,3,1
Egypt,09/12/2025,Jordan,63,L,20,7,0,16,6,3
Egypt,06/12/2025,United Arab Emirates,68,D,6,2,1,7,2,1
Egypt,02/12/2025,Kuwait,134,D,19,6,1,7,3,1
Egypt,12/10/2025,Guinea-Bissau,132,W,7,3,1,6,2,0
Egypt,08/10/2025,Djibouti,197,W,13,7,3,0,0,0
Egypt,09/09/2025,Burkina Faso,62,D,8,2,0,3,0,0
Egypt,05/09/2025,Ethiopia,144,W,17,10,2,6,2,0
Egypt,25/03/2025,Sierra Leone,119,W,9,3,1,3,1,0
Egypt,21/03/2025,Ethiopia,144,W,13,8,2,1,0,0
England Men,31/03/2026,Japan,18,L,14,4,0,7,3,1
England Men,27/03/2026,Uruguay,17,D,13,5,1,9,1,1
England Men,16/11/2025,Albania,64,W,15,10,2,7,3,0
England Men,13/11/2025,Serbia,39,W,19,6,2,7,1,0
England Men,14/10/2025,Latvia,137,W,24,7,5,6,1,0
England Men,09/10/2025,Wales,37,W,17,5,3,10,2,0
England Men,09/09/2025,Serbia,39,W,24,12,5,3,0,0
England Men,06/09/2025,Andorra,173,W,11,7,2,2,0,0
England Men,10/06/2025,Senegal,14,L,8,4,1,11,9,3
England Men,07/06/2025,Andorra,173,W,20,10,1,4,0,0
England Men,24/03/2025,Latvia,137,W,27,8,3,3,1,0
England Men,21/03/2025,Albania,64,W,12,6,2,3,0,0
England Men,17/11/2024,Republic of Ireland,59,W,22,7,5,1,1,0
England Men,14/11/2024,Greece,47,W,9,5,3,10,5,0
England Men,13/10/2024,Finland,73,W,15,6,3,13,3,1
England Men,10/10/2024,Greece,47,L,12,2,1,12,3,2
England Men,10/09/2024,Finland,73,W,22,8,2,2,0,0
England Men,07/09/2024,Republic of Ireland,59,W,16,9,2,6,1,0
England Men,14/07/2024,Spain,2,L,9,4,1,16,6,2
England Men,10/07/2024,Netherlands,7,W,9,5,2,7,2,1
France,29/03/2026,Colombia,13,W,14,5,3,13,5,1
France,26/03/2026,Brazil,6,W,7,3,2,17,4,1
France,16/11/2025,Azerbaijan,127,W,17,4,3,2,1,1
France,13/11/2025,Ukraine,32,W,25,10,4,1,0,0
France,13/10/2025,Iceland,75,D,20,9,2,4,2,2
France,10/10/2025,Azerbaijan,127,W,33,9,3,1,0,0
France,09/09/2025,Iceland,75,W,20,8,2,7,2,1
France,05/09/2025,Ukraine,32,W,16,6,2,8,3,0
France,08/06/2025,Germany,10,W,16,9,2,20,6,0
France,05/06/2025,Spain,2,L,24,9,4,16,8,5
France,23/03/2025,Croatia,11,W*,28,8,2,5,0,0
France,20/03/2025,Croatia,11,L,16,6,0,8,4,2
France,17/11/2024,Italy,12,W,6,4,3,10,4,1
France,14/11/2024,Israel,77,D,24,8,0,3,1,0
France,14/10/2024,Belgium,9,W,14,4,2,20,7,1
France,10/10/2024,Israel,77,W,15,5,4,1,1,1
France,09/09/2024,Belgium,9,W,25,9,2,9,4,0
France,06/09/2024,Italy,12,L,12,3,1,11,6,3
France,01/07/2024,Belgium,9,W,19,2,1,5,2,0
France,25/06/2024,Poland,35,D,19,8,1,10,3,1
Germany,30/03/2026,Ghana,74,W,23,6,2,6,1,1
Germany,27/03/2026,Switzerland,19,W,22,9,4,7,3,3
Germany,17/11/2025,Slovakia,48,W,22,10,6,6,2,0
Germany,14/11/2025,Luxembourg,98,W,14,7,2,7,1,0
Germany,13/10/2025,Northern Ireland,70,W,11,2,1,12,3,0
Germany,10/10/2025,Luxembourg,98,W,26,9,4,1,1,0
Germany,07/09/2025,Northern Ireland,70,W,11,6,3,4,1,1
Germany,04/09/2025,Slovakia,48,L,11,4,0,8,5,2
Germany,08/06/2025,France,1,L,20,6,0,15,8,2
Germany,04/06/2025,Portugal,5,L,9,5,1,13,6,2
Germany,23/03/2025,Italy,12,D,22,8,3,9,3,3
Germany,20/03/2025,Italy,12,W,10,4,2,13,6,1
Germany,19/11/2024,Hungary,42,D,12,3,1,16,6,1
Germany,16/11/2024,Bosnia & Herzegovina,65,W,23,13,7,7,3,0
Germany,14/10/2024,Netherlands,7,W,13,5,1,3,1,0
Germany,11/10/2024,Bosnia & Herzegovina,65,W,13,5,2,11,3,1
Germany,10/09/2024,Netherlands,7,D,17,6,2,11,5,2
